,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1870,-1.729737,-0.9994422,-1.378929,-1.689939,-2.162601,-2.737484,-2.708638,-2.39451,-2.161994,-1.731478,-2.400434,-2.502279
1871,-3.653544,-3.110732,-3.634507,-3.019066,-3.545468,-3.858032,-3.650701,-3.090957,-2.570642,-2.664519,-2.237462,2.320317
1872,-0.1033785,-7.34E-02,-0.2973416,-0.2390654,-0.1875482,-6.41E-02,-2.65E-02,-2.30E-02,-9.25E-02,-0.3176809,-0.6923172,-5.89E-03
1873,-0.6327525,-0.3073087,-0.8538254,-1.460511,-1.772272,-1.771425,-1.51199,-1.229984,-1.188912,-1.445155,-2.151104,0.6932644
1874,0.7634925,0.4146133,0.7190791,-0.1930011,-4.87E-02,-0.1796734,-0.3295784,-0.4271633,-0.5955364,1.267776,-0.5232608,-1.034801
1875,1.122377,-0.3863167,-0.6200056,-1.473097,-2.018085,-1.851155,-1.742271,-1.55218,-1.478319,-1.893065,2.434748,2.019568
1876,2.160691,2.229412,2.445232,2.352504,2.528034,2.676115,2.654774,2.460786,2.153446,2.187792,-0.4597172,-1.05025
1877,-1.380373,-2.41109,-3.30208,-3.876096,-4.261551,-4.697646,-4.337718,-3.60486,-3.201651,-2.798499,-2.523648,-2.611133
1878,0.7483487,2.573839,2.569481,2.612289,2.775317,2.827914,2.704842,2.04E-03,4.65E-02,-6.36E-03,-0.4154248,-0.7485779
1879,-0.9347593,-0.9879493,-0.7424952,-1.226525,-1.891665,-2.648346,-2.672834,-2.354805,-2.233372,-1.567515,-1.322927,-1.052984
1880,-1.584486,0.2174243,4.80E-03,1.60728,1.520571,-7.79E-02,-9.83E-02,-0.1431173,-0.2809213,-0.5132945,-1.241556,1.62372
1881,1.607663,-0.120919,-0.1870947,-0.1967516,-0.2147768,-0.1531345,-0.1838248,-0.2331874,-0.1904531,-4.03E-02,-0.3275526,-0.8931165
1882,-1.889337,-1.548949,0.973557,-1.50E-02,-0.8877866,-1.368267,-1.486521,-1.381323,0.1703036,0.7012278,-0.2246359,-1.469653
