,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,32.89165,32.10138,38.12681,40.12017,48.50279,42.5188,34.95687,42.29683,33.87968,43.7588,39.28442,40.98645
1902,29.59432,42.5264,43.45513,39.78454,46.62463,46.00529,44.70808,42.34765,40.77331,43.81524,54.78845,45.39729
1903,37.83283,38.46852,42.96189,39.92139,56.77176,42.90265,47.21445,51.30556,33.97596,31.57001,32.324,39.71515
1904,39.921,33.2857,54.77128,45.04782,50.95303,45.0461,55.44407,39.39754,40.28199,35.28622,29.6242,40.48794
1905,40.42542,27.57545,41.00383,39.48771,52.68336,40.44788,55.73726,47.31272,41.43512,42.16373,36.45186,35.03181
1906,40.07677,34.6738,50.36356,42.04879,46.1082,44.25672,47.22803,46.65305,39.87743,36.15592,35.11887,51.05652
1907,48.53292,30.74601,44.65544,43.11147,48.41386,43.12445,50.20947,45.11677,36.94383,40.97337,38.83878,40.76408
1908,36.56112,38.25393,41.52847,39.00676,54.90596,45.29731,47.32219,42.39144,35.10202,32.65932,37.2789,39.72987
1909,44.65177,41.88836,41.78465,43.92921,45.3004,45.91557,47.69169,43.5301,41.34158,34.28605,48.27322,39.9887
1910,39.02291,33.58716,32.16977,37.01556,50.29947,43.52682,48.83973,41.85508,41.60586,32.19121,29.92466,39.99081
1911,44.67385,30.47682,43.57466,49.61758,38.11639,36.89275,52.02837,51.30743,50.32104,42.59347,41.31324,40.22666
1912,31.708,39.15777,48.68862,46.8936,46.24256,39.0295,52.22294,45.20681,39.59256,37.54283,34.00814,31.3304
1913,47.04725,34.34459,40.69019,43.05709,40.87954,41.20325,38.78357,33.31162,34.71983,44.87573,39.49456,39.02697
1914,48.37817,34.39768,34.03253,43.22801,37.56108,43.91403,50.23613,47.38639,31.395,44.50418,40.77482,44.06538
1915,46.76987,45.03438,39.30119,47.54123,59.70566,53.0283,61.55632,49.24393,38.08046,32.37098,33.28481,41.35299
1916,47.24159,35.41467,43.23489,39.13964,44.42111,44.23583,34.63895,43.45762,39.62893,31.55771,34.94389,42.57173
1917,37.99926,32.34205,37.55265,37.61715,46.48105,34.77386,46.21212,41.88608,38.51979,34.476,25.22102,29.42587
1918,36.06894,30.50749,41.56587,46.87943,50.28826,36.26822,40.01122,44.63245,39.28975,41.56221,43.38134,43.10999
1919,34.6918,43.31005,44.76503,40.79361,51.56499,42.44975,42.05063,39.77342,38.77015,49.08098,43.29101,34.0458
1920,31.39662,34.76385,43.35253,50.94569,46.52782,40.2269,45.49333,48.24368,36.95448,45.63961,45.95255,41.6969
1921,32.28851,30.2195,42.5794,50.49825,47.00372,44.62184,43.65423,45.96935,42.70822,29.32745,44.81653,44.29842
1922,37.9978,37.2731,47.53671,47.86703,44.23899,36.20386,53.55112,47.61121,33.33309,34.78521,39.20337,41.63815
1923,35.51698,35.4734,45.55497,53.46112,42.88711,46.95518,48.40977,51.80391,36.33105,37.55661,36.58344,41.93372
1924,35.52376,38.69189,48.35364,38.00828,41.89441,41.69178,48.40836,35.45222,35.97935,33.43885,34.9608,47.62169
1925,24.40235,29.93711,36.931,41.29237,39.38951,43.58355,51.52637,48.41503,35.90145,43.79799,42.31433,33.51975
1926,34.03688,38.71552,35.40862,37.41865,37.85308,33.90244,51.33627,51.11395,46.19336,37.81404,42.20694,40.64724
1927,36.00663,35.8918,41.57309,48.92983,45.35978,37.59578,52.12016,44.54443,30.80792,41.34927,42.27179,54.98081
1928,31.34463,37.0416,45.33095,43.58675,39.68819,52.59057,47.40582,45.02476,34.84019,34.13422,51.76372,38.31835
1929,37.57154,41.02204,37.90737,45.25018,47.10456,41.36035,47.62913,43.80184,40.37639,39.16487,32.37923,35.94862
1930,39.15455,38.04282,30.05659,41.67385,43.96141,40.69902,43.87522,39.2533,32.5653,36.75657,31.70928,33.11825
1931,34.95824,30.10131,42.62573,48.85345,49.96122,39.49435,41.22226,53.4637,36.8878,32.27826,46.20552,50.43605
1932,40.15761,33.80394,40.68859,37.22849,35.33657,39.89457,50.63592,44.90209,33.88846,30.33669,40.12036,37.70545
1933,39.96106,30.24264,48.39461,39.62576,56.74966,39.36983,45.93128,48.07226,34.62371,30.52081,31.63102,55.75517
1934,25.81751,32.90624,32.10253,38.7115,39.84811,41.5196,44.23423,48.70572,48.21419,28.01503,42.92136,37.07732
1935,43.57574,29.9595,42.98156,35.89424,54.08502,44.31033,44.37745,40.16088,35.74098,36.33454,51.96965,39.51937
1936,35.23668,49.17407,40.50908,43.20928,49.70978,37.13572,42.9101,39.33944,45.56723,37.7827,33.03674,39.79415
1937,51.23669,33.79079,33.93337,47.72079,44.09912,41.34166,44.76607,53.39067,30.93944,48.86794,44.77037,41.13342
1938,35.27966,41.11598,46.55839,42.85644,57.65302,38.78656,53.31036,39.89585,39.46241,29.15291,33.43278,43.50619
1939,40.95179,34.99858,49.44697,44.09374,30.28895,50.47972,42.72268,45.3443,38.01853,37.49073,36.28692,41.15875
1940,49.05692,43.35317,37.05036,47.93921,47.53653,42.62029,39.98667,49.67579,30.18633,40.27211,37.64123,51.26389
1941,52.23569,37.06391,38.80073,50.31731,35.51207,46.84507,44.35527,40.15986,37.27309,50.56447,40.61489,39.98215
1942,44.57844,38.15979,48.70317,45.56596,42.77866,42.5237,45.49508,55.49202,37.05222,42.52831,53.91034,38.43182
1943,39.34902,27.23304,48.1014,37.44761,56.91895,40.09522,37.13957,39.37708,37.65919,40.0724,30.33012,37.40404
1944,30.04723,42.41982,46.34904,60.55771,43.10316,38.37595,46.68471,45.32311,33.31244,36.12629,40.35364,34.37511
1945,39.8894,32.81896,49.68708,40.89569,42.28787,51.62815,49.68061,44.95353,47.89373,29.68811,48.65985,46.92505
1946,30.59731,31.7536,49.30688,37.97007,57.22059,42.10165,44.60442,40.59152,27.8454,48.03267,37.66519,43.55883
1947,43.41161,34.28856,34.91614,39.49113,45.61597,50.58935,48.24388,50.48738,40.06757,36.9502,37.69985,37.97592
1948,37.61845,39.83734,44.27998,51.13518,49.9898,52.48785,52.79244,38.46702,30.32722,28.97475,35.79845,44.62019
1949,46.15316,31.4946,50.12195,38.47526,48.51257,48.47209,59.18237,42.78753,39.6255,35.51842,29.13067,37.9441
1950,52.61024,31.45633,36.36195,35.36549,53.6495,39.66407,53.70071,42.266,32.91861,34.79181,37.24683,37.59357
1951,43.62565,40.59702,42.28316,41.34538,48.31095,53.74,46.67903,48.07141,41.30566,56.10229,49.77757,44.57473
1952,42.75259,38.46369,52.99256,46.3834,46.89206,36.07768,46.31697,40.43335,29.13491,20.59169,41.99716,41.46341
1953,40.83213,30.9656,51.60111,42.88132,49.90748,42.17858,46.4871,48.10165,21.94553,41.32147,38.27571,37.06963
1954,41.11981,37.41182,45.35162,43.95086,39.72699,42.21373,41.11555,56.3632,28.24355,36.82838,37.31245,38.73589
1955,32.69558,36.0887,43.11147,38.31973,45.04927,39.11599,42.75956,47.48708,45.05649,40.39579,43.48467,38.2364
1956,38.50282,54.28843,45.25355,40.8945,42.18979,45.92752,48.47195,40.15359,29.442,30.57737,30.28565,32.95486
1957,37.26713,29.37717,36.70028,48.47271,58.62452,49.43148,41.4827,42.42529,31.95585,46.44388,42.62606,43.62081
1958,42.51212,29.09883,47.87819,49.12374,42.3604,44.54229,67.68337,47.54214,39.90791,30.13987,35.85661,41.86388
1959,41.93229,35.49675,43.94491,36.30319,49.97084,38.64113,54.04787,54.02616,44.81609,45.59169,36.18939,37.38417
1960,40.46363,43.04985,44.07315,42.41166,50.04617,44.28619,43.73832,40.29925,36.9905,36.23528,39.36211,40.05217
