,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,384.9052,97.40539,99.06895,66.75883,83.23415,1.189553,6.453916,4.016054,88.84117,5.529697,49.11483,120.1447
1896,421.4986,23.99641,175.3217,244.1516,99.58826,1.837705,7.134385,10.76722,27.13807,35.09153,250.2474,144.7247
1897,102.2269,263.5422,180.8414,33.55949,10.96125,27.7122,0.3446891,1.401577,12.14311,71.63211,94.76465,95.42119
1898,40.00636,178.2506,34.6945,21.45126,66.34063,30.34879,0.5373948,1.295768,12.51638,39.85967,75.81966,55.37344
1899,197.6452,40.30344,301.3023,32.23446,53.5316,17.03393,0.1090539,15.58084,2.541711,207.079,194.4094,193.2047
1900,143.0268,62.40321,136.8183,88.48902,43.50928,11.01114,1.653225,1.016527,14.36367,139.1514,177.0461,99.04501
1901,233.3841,238.6795,60.84344,108.8914,30.99711,0.3416433,3.21E-02,5.592278,66.55883,71.96593,111.4871,96.63898
1902,40.48924,376.5314,127.9205,89.36204,37.84903,4.848784,2.824658,2.059388,1.038721,91.4724,150.1436,157.8853
1903,244.0034,62.52059,238.441,28.57125,12.57528,5.979525,9.26E-03,0.6768594,3.111979,29.65981,305.7217,70.36281
1904,69.81161,433.2038,358.3165,85.36106,12.43832,0.2653008,1.497086,6.224942,105.578,136.6434,68.87708,142.4719
1905,137.1698,116.1632,197.5827,51.64111,71.54703,5.34383,1.33E-02,5.329659,8.899223,1.988056,62.55326,61.17243
1906,378.2253,197.6874,356.2257,66.62537,152.868,56.04282,2.398213,3.680372,10.25837,2.912533,75.78115,336.6883
1907,230.6463,176.3554,494.5536,49.46032,31.24944,67.62889,2.740295,0.8294272,1.724248,27.93087,7.917519,217.1234
1908,144.3407,116.3867,63.20577,20.71254,94.49905,11.5407,0.8586135,0.1329947,9.076075,61.51662,72.91742,78.30577
1909,645.3381,267.1595,109.6689,4.923851,16.36434,10.61767,9.68E-02,0.1042008,16.71759,73.66738,187.3558,228.6211
1910,162.2717,109.4555,115.7054,26.92108,9.482334,1.619327,4.05727,0,29.59758,31.3054,72.58006,92.0135
1911,571.7719,112.7202,215.3909,88.38984,26.04128,8.89855,3.308947,0,6.860007,22.22244,42.29903,57.60509
1912,128.6994,18.39172,130.6816,100.044,87.2422,22.46499,2.569643,0.9179342,74.43229,38.72754,123.6268,60.44132
1913,180.0134,22.0864,83.297,65.60796,49.20231,26.74949,28.08056,7.426196,0.5935326,0.2426224,172.5463,285.5325
1914,425.3284,171.8817,29.81596,73.07433,31.67768,47.19393,0.1851981,0.2953725,2.208223,58.33889,24.8308,140.3597
1915,221.1672,341.9935,74.45821,43.89422,196.6622,0.1487961,2.248727,0.420171,1.3191,3.700115,63.57634,198.9188
1916,465.187,142.1724,105.1078,20.21334,31.59392,5.796325,10.24944,3.655594,13.43249,61.20243,82.91057,199.2645
1917,72.46488,250.7397,70.28554,82.57021,30.9205,0.1348686,7.981804,1.678535,8.184978,3.51E-02,42.32948,61.51504
1918,32.11185,221.1169,221.8642,43.28511,13.14347,1.845364,1.067966,0.819813,109.8358,46.7361,91.25507,55.46778
1919,93.68562,330.2489,117.8799,28.87536,5.75156,8.81E-02,1.028283,1.40E-02,28.71691,20.33107,25.07819,146.7451
1920,22.93663,68.93521,206.8238,119.8747,2.661282,20.37934,1.846193,12.01993,11.97702,99.01131,250.1639,236.6512
1921,256.9336,79.74543,103.4354,19.1719,55.59508,9.929304,6.21E-03,2.58E-02,3.269229,25.1098,54.75981,235.4751
1922,85.69888,306.7644,146.6659,29.13826,54.34915,10.71441,2.876607,0.8516216,0.1603832,58.58238,136.392,305.3483
1923,131.746,44.17463,11.06819,151.4062,18.32127,35.36126,2.194643,6.751016,55.70533,33.63171,19.32738,66.23381
1924,76.82171,100.3554,68.67245,23.14375,1.920307,0.8806152,2.63E-02,1.306614,4.820837,129.0829,75.80838,163.1575
1925,56.7731,279.2487,89.49203,103.7712,53.95255,24.95332,4.528383,12.56635,31.61145,35.75558,76.3287,63.41954
1926,130.8378,244.6741,7.777145,172.3161,35.6218,1.251493,1.132493,1.588143,0.645853,57.03774,316.5593,50.72472
1927,150.4406,297.0879,91.52457,105.8289,30.26444,18.58332,0.1238196,0.3731537,4.035483,62.74548,181.536,104.857
1928,76.83649,84.62337,284.7703,69.16338,6.062107,5.519241,0.2431488,3.37E-03,1.943426,9.667267,112.873,115.5114
1929,60.84063,92.05483,79.96268,77.80657,3.238358,75.29312,5.00E-02,0.2615175,0.2870846,6.33942,0,299.3632
1930,194.4468,115.1069,116.0864,72.85118,44.83325,2.64E-02,8.67E-02,2.719293,27.65793,12.75779,99.77492,19.00879
1931,135.1489,81.92799,72.69405,32.13904,43.3611,32.24004,7.09E-02,0.4335048,7.010509,66.06948,107.9074,293.5051
1932,125.5204,101.2,42.98061,81.43519,71.91119,10.22803,0.8737383,0.1798902,0.3546181,3.833904,28.70238,97.69347
1933,197.7124,41.59568,124.002,18.81678,81.47281,2.105665,0.6422482,0.9961476,7.614983,89.4581,5.194542,234.2339
1934,72.9938,151.0739,39.01913,22.7931,34.85237,33.639,3.35E-03,2.75914,21.78573,51.57121,171.0589,103.3143
1935,203.3508,70.6144,168.0674,222.7475,17.0846,9.04E-03,0.6269238,3.616511,2.208814,56.32662,45.34159,94.76539
1936,273.9896,387.8157,67.09794,76.43307,31.55635,49.69988,1.371323,1.896361,12.09048,9.579678,4.188805,123.4365
1937,159.234,275.3763,212.6428,68.41501,7.950584,36.08377,3.437991,0,8.12E-02,57.73666,198.8125,219.8885
1938,127.4797,422.4608,292.5596,74.25738,22.46944,9.241549,8.418609,0.1042576,14.08168,69.18873,48.49113,49.04238
1939,103.9965,74.06729,114.9037,9.674881,61.84576,3.802026,2.296641,0.6451161,26.92801,58.41073,14.27715,74.31804
1940,359.1731,355.6759,238.3051,38.60966,30.24942,4.696215,0.2158396,0.364048,15.73092,58.26276,82.98499,337.0823
1941,238.2738,235.8647,122.8593,141.9389,69.24476,16.77133,5.383353,1.721218,6.921012,38.04562,88.32861,346.1708
1942,218.2424,205.147,66.57911,185.2928,116.1837,0.9732876,3.49E-03,0.3386097,1.80622,11.56732,205.7811,161.2553
1943,311.7239,88.51608,204.1302,78.34481,15.5243,36.25387,4.904525,0,4.00E-02,32.52929,40.51279,75.48634
1944,136.3544,209.0592,90.83411,85.65253,32.11103,25.72558,5.768817,1.39E-02,4.270989,56.72431,210.8458,127.5206
1945,34.653,245.9888,151.184,26.40125,68.72166,28.39331,2.996746,1.325572,2.073403,122.3454,163.6478,313.0735
1946,54.39272,88.24393,116.7014,9.988831,27.43696,1.17E-02,9.712536,0,11.32041,32.70458,171.1859,102.308
1947,35.13091,104.6716,173.592,38.84719,13.95488,45.17953,7.03E-04,1.839373,1.245005,154.0658,43.79494,31.61002
1948,110.9384,75.31014,178.4974,238.6709,79.59331,18.85534,0.170752,0.26544,5.864799,19.09476,73.62047,150.4803
1949,60.39326,118.7486,213.2623,7.078514,45.36618,1.021788,0.2524712,7.921486,3.019803,6.012436,72.3118,64.44167
1950,296.0932,143.6594,139.9109,80.34625,45.76719,10.98124,0.4492521,2.144295,13.82029,149.4459,298.6345,251.6589
1951,204.2163,121.0227,75.26853,52.75953,57.98841,0.7724447,0,3.639398,1.054542,107.3174,159.651,304.8774
1952,341.9437,164.7323,184.4788,40.82685,28.33731,28.50211,13.07666,0.6197774,10.38692,3.754524,72.02413,288.0081
1953,239.3523,7.273743,120.8574,125.3393,75.73514,29.88787,1.03761,7.948487,0.523428,40.9496,118.5089,49.24355
1954,190.6097,153.4737,175.5294,103.9426,6.243496,31.68001,8.07E-02,6.151784,3.723463,6.20076,115.0823,185.9831
1955,133.9036,73.40919,36.19154,120.4408,22.075,4.629691,1.734167,0.1805387,18.11856,20.72453,106.517,577.0696
1956,330.1813,159.267,15.6157,66.2529,83.34628,4.181141,4.911626,0.4568763,19.45647,112.1846,4.932594,34.8927
1957,128.114,200.9046,136.5762,73.29992,145.9534,3.451851,0.6193995,0,40.9048,85.93138,60.89032,161.5842
1958,190.8814,326.6828,244.3753,162.0637,33.99877,40.31757,13.75171,6.744117,12.85818,13.17552,36.67256,52.66607
1959,219.3847,212.0076,45.10426,32.44299,26.34638,0.5056639,0.680033,4.478055,73.58043,0.7216225,2.37E-04,57.74328
1960,194.7723,229.3983,158.7141,62.75644,41.03098,4.67E-03,2.915068,0.1190462,4.292217,16.68217,182.8655,73.5773
1961,69.46352,109.9841,141.28,54.05702,46.49295,13.03372,1.884758,10.71259,11.66032,26.94364,90.01003,109.6932
1962,79.17567,362.852,134.7714,31.27715,23.96217,5.128182,3.80747,5.916249,4.916018,333.9165,51.74042,116.8397
1963,120.2578,161.2902,158.581,225.0018,58.31277,21.19506,0.1060283,1.546988,18.28688,71.72542,222.6676,22.66499
1964,174.3903,11.65469,77.98505,30.80205,61.72323,34.94391,1.116025,1.319355,7.108391,37.87787,179.9355,471.8261
1965,223.8273,35.42209,65.08076,144.9299,8.907505,14.53084,4.458672,47.84446,7.607575,9.190266,210.186,128.441
1966,114.1694,85.39127,45.81536,48.01261,11.91485,2.532365,1.300515,1.234478,3.281504,2.47E-02,256.1229,185.7309
1967,323.6137,28.46336,209.1535,195.369,31.53603,53.55673,1.313177,5.563673,10.19532,39.23082,82.60086,117.2851
1968,197.7812,145.9768,102.0111,11.95607,25.9236,10.5966,0.4101951,32.00916,1.938042,67.36995,142.5187,219.4033
1969,463.6078,265.5266,62.18921,84.19923,3.872269,22.67926,1.640406,0,1.8931,71.75706,58.08943,284.0533
1970,443.6778,79.13878,93.72499,35.18263,7.254498,33.84107,0.2703526,0.1781931,0.914299,52.25277,274.28,280.16
1971,97.93242,17.69678,169.2528,45.92562,54.18363,29.30347,3.551438,2.926751,18.54452,18.3589,93.52772,210.4487
1972,73.02122,106.2479,43.35487,88.89372,21.61814,12.8706,3.49E-02,2.583244,42.93528,76.33678,179.762,132.3194
1973,320.1385,222.0886,112.631,20.78084,16.02797,4.592288,2.585288,7.448921,24.2149,88.56433,346.2585,218.6144
1974,194.9106,81.84849,275.7315,84.21112,3.963646,8.351601,63.20446,4.215718,0,50.0212,58.65225,100.5553
1975,70.70583,297.5634,235.1549,94.56906,14.00268,10.70668,3.891213,29.09355,6.596642,136.8846,51.37252,40.01817
1976,17.68448,85.59558,53.07755,50.88851,2.62207,5.656905,3.740101,50.76052,29.05116,9.012657,34.3614,10.55945
1977,66.99554,61.9009,56.17788,9.533844,77.70709,7.632659,2.015811,3.496605,36.72506,9.588898,99.43092,228.241
1978,362.2103,167.6276,195.0936,174.2166,20.49251,7.309567,3.051954,3.292894,58.00119,6.82E-02,82.50344,54.0456
1979,192.9838,224.6684,133.9918,68.18963,43.79694,1.357512,8.812052,10.29764,3.209056,116.9105,101.3849,162.2719
1980,300.5671,296.3568,86.5645,61.40029,41.79372,15.9843,15.49709,1.634586,6.616864,24.21272,26.20432,112.0201
1981,204.7999,75.01734,154.9636,40.51551,40.37757,1.088042,0.1616442,6.65E-02,25.83125,132.3315,348.9711,263.9628
1982,203.197,152.5129,249.4359,205.2223,5.591091,23.74618,6.676868,3.225331,75.23482,155.7169,215.1855,190.4916
1983,218.0932,289.0292,361.8894,143.5566,26.02881,18.20705,2.734653,12.50447,40.2878,54.5849,364.4749,352.1033
1984,15.31885,127.369,87.34015,60.17061,19.41004,24.70829,5.450999,10.81382,7.177814,82.58196,259.4331,56.47892
1985,32.22514,96.69624,149.1375,13.39518,3.341114,5.746956,3.534592,3.152371,50.52019,37.86292,175.6387,102.35
1986,168.0043,505.9569,202.6537,40.69215,33.73055,2.335757,4.131038,0.3305292,96.02642,13.174,16.31104,41.82455
1987,122.2505,132.9323,152.8677,11.61819,22.53956,4.991435,4.089795,7.35E-02,0.4123096,29.20174,68.39843,222.9424
1988,150.5951,15.4321,28.71114,82.03514,44.57525,21.74492,4.472012,0.7541122,1.840196,4.204037,228.2218,118.5594
1989,59.4173,75.64677,330.6833,47.58002,24.54971,18.79284,2.33E-02,14.56512,76.73299,122.0114,74.64894,0.7703705
1990,161.3415,116.9679,65.07718,38.0185,112.58,7.468047,5.877433,7.089864,14.16068,16.39092,35.80424,42.70368
1991,19.74211,67.53168,390.288,38.86352,51.10837,26.5243,7.857661,9.652533,4.252813,73.40269,52.11333,85.28667
1992,60.44801,236.4035,101.5593,42.99483,5.961704,36.85771,8.634416,4.455232,1.530096,87.33293,21.70802,278.6028
1993,355.4868,233.3391,126.2656,67.05347,54.77452,53.26911,0.3928037,6.56109,0.8492403,52.55031,66.73676,114.7569
1994,70.06848,171.8913,28.29831,55.72416,47.5338,2.323648,0.2356603,3.51E-02,10.17897,24.59785,196.1612,168.708
1995,506.209,36.56861,445.9713,147.1297,111.6367,55.90332,4.093193,5.55E-02,1.03E-02,0.4859581,10.80915,252.8431
1996,252.0234,276.095,123.7325,119.7484,142.0362,8.426571,4.784966,3.323093,15.35453,53.89222,138.8959,475.3548
1997,417.7581,20.35323,42.6956,42.14384,18.57647,36.49522,5.099811,10.29459,12.14426,60.80646,162.2833,96.03604
1998,332.7343,400.7465,127.917,103.6721,148.3033,34.5451,3.174269,1.638988,35.20073,30.14757,189.1924,98.53996
1999,184.7461,281.7326,93.36496,69.04865,19.79461,11.02728,1.372029,7.742884,2.312018,42.78547,96.59516,31.66296
2000,262.4235,350.381,77.0348,59.26197,60.22538,11.87092,0.251791,0.6984606,22.09389,99.89794,37.91075,44.91381
2001,109.9285,170.4338,76.3317,82.90454,3.158096,5.743184,2.065965,3.85E-02,12.97186,29.93413,171.8861,270.3016
