"","MEbootEmpiricalTwoTail","RMSEthoery","RMSEempirical","MEbootTheoryOneTail","MEbootTheoryTwoTail"
"1",0.7,0.9,0.8,0.7,0.9
"2",0.9,1,1,0.8,1
"3",0.9,1,1,0.9,1
"4",0.9,1,1,0.9,1
"5",0.9,1,1,0.9,1
"6",0.9,1,1,0.9,1
"7",0.9,0.9,0.9,0.9,0.9
"8",0.9,0.9,0.9,0.9,0.9
"9",0.9,0.9,0.9,0.9,0.9
"10",0.9,0.9,0.9,0.9,0.9
"11",0.9,0.9,0.9,0.9,0.9
"12",0.9,0.9,0.9,0.9,0.9
"13",0.9,0.9,0.9,0.9,0.9
"14",0.9,0.9,0.9,0.9,0.9
"15",0.8,0.8,0.8,0.8,0.8
"16",0.8,0.8,0.8,0.8,0.8
"17",0.9,1,0.9,0.9,0.9
"18",0.9,1,0.9,0.9,0.9
"19",0.9,1,0.9,0.9,1
"20",0.9,1,0.9,0.9,0.9
"21",0.9,1,0.9,0.9,0.9
"22",0.9,1,0.9,0.9,0.9
"23",0.9,0.9,0.9,0.9,0.9
"24",0.9,1,0.9,0.9,0.9
"25",0.9,1,1,0.9,1
"26",1,1,1,1,1
"27",1,1,1,1,1
"28",1,1,1,1,1
"29",1,1,1,1,1
"30",1,1,1,1,1
"31",1,1,1,1,1
"32",1,1,1,1,1
"33",0.9,1,1,0.9,1
"34",0.9,1,1,0.9,1
"35",0.8,1,0.9,0.8,1
"36",0.8,1,0.9,0.8,1
"37",0.7,1,0.9,0.7,1
"38",0.7,1,0.9,0.7,1
"39",0.7,1,0.9,0.7,1
"40",0.7,1,0.9,0.7,1
"41",0.7,1,0.9,0.7,1
"42",0.7,1,0.9,0.7,1
"43",0.8,1,1,0.8,1
"44",0.8,1,1,0.8,1
"45",0.9,1,1,0.9,1
"46",0.8,1,0.9,0.8,1
"47",0.9,1,0.9,0.9,1
"48",0.9,1,0.9,0.9,1
"49",0.8,0.8,0.8,0.8,0.8
"50",0.8,0.9,0.8,0.8,0.9
"51",0.8,0.9,0.8,0.8,0.9
"52",0.7,0.9,0.8,0.8,0.9
"53",0.8,0.9,0.8,0.8,0.9
"54",0.5,0.7,0.7,0.5,0.7
"55",0.6,0.7,0.7,0.6,0.7
"56",0.8,0.8,0.8,0.7,0.9
"57",0.7,0.7,0.7,0.7,0.8
"58",0.6,0.8,0.6,0.5,0.8
"59",0.5,0.7,0.5,0.5,0.7
"60",0.7,0.9,0.8,0.7,0.9
"61",0.7,0.9,0.8,0.7,0.9
"62",0.7,0.9,0.9,0.7,0.9
