,ChronoConfEmp,ErrEmp,ErrTheory,ChronoConfTheory,,,,,
simME50,40.8%,52.7%,50.5%,47.4%,,9.2%,2.7%,0.5%,2.6%
realME50,45.2%,48.7%,47.9%,47.1%,,4.8%,1.3%,2.1%,2.9%
simME90,83.3%,85.9%,88.6%,88.3%,,6.7%,4.1%,1.4%,1.7%
realME90,87.1%,86.5%,88.4%,91.8%,,2.9%,3.5%,1.6%,1.8%
simTrad50,40.6%,51.8%,50.0%,49.7%,,9.4%,1.8%,0.0%,0.3%
realTrad50,45.6%,48.7%,47.9%,46.8%,,4.4%,1.3%,2.1%,3.2%
simTrad90,84.8%,86.8%,88.8%,89.5%,,5.2%,3.2%,1.2%,0.5%
realTrad90,86.9%,86.5%,88.5%,92.4%,,3.1%,3.5%,1.5%,2.4%
,,,,,,5.7%,2.7%,1.3%,1.9%
,,,,,,,,,
,,,,,,,,,
,ChronoConfEmp,ErrEmp,ErrTheory,ChronoConfTheory,,, ,,
simME50,9.2%,2.7%,0.5%,2.6%,,,,,
realME50,4.8%,1.3%,2.1%,2.9%,,,,,
simME90,6.7%,4.1%,1.4%,1.7%,,,,,
realME90,2.9%,3.5%,1.6%,1.8%,,,,,
simTrad50,9.4%,1.8%,0.0%,0.3%,,,,,
realTrad50,4.4%,1.3%,2.1%,3.2%,,,,,
simTrad90,5.2%,3.2%,1.2%,0.5%,,,,,
realTrad90,3.1%,3.5%,1.5%,2.4%,,,,,
,5.7%,2.7%,1.3%,1.9%,,,,,
