,No Bootstrapping,,,,MEboot,,,,Traditional Bootstrapping,,,,
,REtt,,REte,,REcit,,REcie,,REcit,,REcie,,
sim50,52.6%,2.6%,50.8%,0.8%,55.5%,5.5%,53.6%,3.6%,61.4%,11.4%,59.9%,9.9%,
real50,48.5%,1.5%,47.8%,2.2%,49.2%,0.8%,48.4%,1.6%,55.0%,5.0%,52.4%,2.4%,
sim90,86.4%,3.6%,88.1%,1.9%,88.2%,1.8%,89.3%,0.7%,94.3%,4.3%,95.6%,5.6%,
real90,86.8%,3.2%,88.5%,1.5%,89.8%,0.2%,91.1%,1.1%,96.5%,6.5%,96.3%,6.3%,
,2.7%,,1.6%,,2.1%,,1.8%,,6.8%,,6.1%,,
,,,,,,,,,,,,,
,"sim50: synthetic chronology, 50% prediction intervals",,,,,,,,,,,,
,"real50: original chronology, 50% prediction intervals",,,,,,,,,,,,
,"sim90: synthetic chronology, 90% prediction intervals",,,,,,,,,,,,
,"real90: original chronology, 90% prediction intervals",,,,,,,,,,,,
,Rett: median error plus standard deviations corresponding to theoretical 90th percentile,,,,,,,,,,,,
,Rete: 90th percentile rank-order error,,,,,,,,,,,,
,Recit: regression error based on bootstrapped confidence intervals plus Rett,,,,,,,,,,,,
,Recie: regression error plus 90th percentile rank-order error,,,,,,,,,,,,
