,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,178.0912,45.03115,53.88861,30.22868,16.48434,1.251154,0.4265167,0.498365,17.07909,10.54906,32.93869,27.82093
1896,173.8063,6.067986,63.58811,79.57111,20.86365,0.2596352,1.244909,10.59157,6.707462,34.03889,71.76122,55.0905
1897,76.38517,103.0383,81.70479,7.673546,3.006258,2.860343,3.49E-03,0.1472435,3.024739,43.94196,14.94166,32.81948
1898,27.73005,39.44618,15.51796,5.720943,29.962,1.282929,6.43E-03,5.87E-03,19.09531,15.77105,9.975803,30.32233
1899,95.40223,13.77731,134.5716,15.6765,16.15404,10.83753,0,0.724426,0.7484941,84.68468,63.70233,55.46746
1900,63.97556,8.309898,42.67683,38.71196,33.40721,0.1575675,5.80E-03,7.92E-04,2.08063,32.58364,132.5842,23.31126
1901,106.1884,116.3762,14.97793,45.14612,30.78482,0,0,1.33E-04,13.85684,29.74572,42.67456,16.70375
1902,26.65093,134.6045,68.80834,32.58508,12.21885,2.36E-02,0,0,0,29.29239,54.89042,40.91709
1903,81.09293,34.08191,138.35,23.865,0.2012739,0,0,0,0.4814425,3.38361,51.40962,17.25502
1904,23.03888,120.0734,126.183,41.52808,3.167684,2.97E-03,2.72E-03,4.105318,73.57519,45.33141,17.38052,41.19469
1905,77.50069,92.2673,107.088,20.59684,52.19068,0,1.98E-03,0,0.4569631,0.560606,37.81626,21.09886
1906,117.951,80.39365,179.4592,30.35074,50.34546,5.932286,4.99E-03,3.62E-04,1.686409,1.08E-03,26.14951,167.1064
1907,159.8501,53.33414,174.6488,9.500786,2.2912,10.86454,2.43E-02,0,1.294892,43.32361,0.4173088,79.84321
1908,95.99152,66.22528,21.20009,8.884735,14.53027,3.14E-02,2.90E-04,2.81E-03,10.49255,11.80007,30.5757,37.85698
1909,260.1389,128.2956,78.40105,6.83E-02,8.18E-02,1.495592,0,5.36E-03,6.551355,19.43896,43.9885,145.5672
1910,86.77863,24.54843,76.9136,9.62269,0.213027,2.32E-03,0.1454749,0,13.0832,14.72847,10.41622,21.99747
1911,272.597,65.66316,151.8969,24.08871,4.343471,0.4434898,1.90E-03,0,1.252133,8.42779,8.441669,38.0102
1912,48.70805,3.175362,94.4866,54.50589,23.29494,4.662614,5.07E-03,0,14.88776,8.365688,18.19485,13.55211
1913,78.70625,32.06964,31.80961,15.45929,14.92253,4.29772,4.189267,3.680946,1.030242,1.11E-02,88.53067,93.06976
