,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,181.6151,33.82779,63.24549,20.38652,11.57584,0,0,0,9.95496,16.15623,34.54236,23.68815
1896,141.8966,2.144043,80.68564,55.41331,12.76695,0,2.139279,10.40239,4.373712,35.65392,56.5962,67.47513
1897,93.51521,116.9106,84.52405,4.6621,1.867909,0.1243128,0,4.65E-03,4.09159,49.52898,6.843548,19.83202
1898,40.19697,28.58441,19.93116,3.992121,32.97052,0,0,0,26.52964,14.49304,5.180519,19.51402
1899,95.55671,10.00053,117.8897,19.05022,9.982018,10.58063,0,0,1.140321,86.52974,47.81839,50.42277
1900,56.96524,4.301514,47.72331,27.54414,37.47333,0,0,0,0.1711845,26.65655,144.0133,13.80066
1901,118.8133,116.3025,13.64982,29.89909,35.14262,0,0,0,7.756493,56.18883,26.23547,7.817596
1902,35.23584,111.5571,79.56421,30.30048,5.558741,0,0,0,0,33.215,66.47811,54.36562
1903,57.5472,41.30676,141.8343,56.65639,0.2332754,0,0,0,4.124785,1.87989,19.34192,6.067581
1904,15.2392,95.25729,114.4933,50.5749,3.85581,0,0,9.271441,79.17454,35.63536,4.434078,39.79227
1905,81.11041,149.8218,158.7909,20.44599,48.00116,0,0,0,1.466815,4.004896,43.17114,14.12476
1906,91.96324,83.39906,211.3825,18.50078,42.26984,0.611134,0,0,4.47E-02,0,18.39352,183.1301
1907,250.0479,33.35815,129.1543,4.436909,0.3387756,2.126146,0,0,3.15E-02,91.02721,0,67.69087
1908,129.6547,95.57282,15.25335,9.841711,7.816699,0,0,0,29.51574,14.31025,30.99748,46.92667
1909,289.6533,138.2089,120.4082,0,0,1.016804,0,0,5.496339,19.00904,45.93668,196.1961
1910,90.26853,9.564842,85.048,6.200792,0,0,0,0,34.63328,16.87066,8.889299,16.57497
1911,258.4006,84.64489,214.5389,28.30983,1.43772,0.2095582,0,0,8.375684,10.01472,4.650085,45.09872
1912,26.60202,3.27E-03,164.8557,53.20523,23.19792,0,0,0,2.578055,12.27043,8.087744,5.176834
1913,81.04558,82.3167,19.16341,12.77157,5.946559,8.699738,2.37E-02,8.781342,4.453893,0,80.53862,76.72515
1914,300.8542,114.1818,22.25559,18.34709,7.322432,2.353913,0,0,0,9.335962,3.356689,128.4924
1915,136.7165,185.5173,26.82189,33.65492,43.37029,0,0,0,0.2682738,0,15.65541,79.95197
1916,318.9478,44.24925,40.29712,4.413883,0.428009,0,0,3.95E-03,11.24939,84.35207,7.621309,173.1818
1917,63.06697,103.6666,10.53649,11.73935,7.446743,0,0,0,0,1.32E-03,9.001522,4.660248
1918,11.31731,187.4118,189.3039,1.91436,0.3490744,0,0.2217407,4.23E-02,41.78306,7.023141,72.1572,49.02629
1919,15.7261,68.98881,58.05119,5.058319,15.69296,0,0,0,23.08791,11.73803,7.887957,75.22201
1920,11.36419,60.59537,116.2938,22.1416,0.2500353,2.57E-02,0,0,0,20.24318,37.82689,46.33339
1921,115.9447,35.79948,48.37909,11.04683,73.69128,0,0,0,7.00133,16.58929,4.90641,280.1047
1922,104.4628,98.4811,57.24194,10.1972,16.54502,0,0,0,0,13.71491,54.29094,160.1582
1923,51.36283,25.829,6.440536,78.79344,0,1.571048,0,0,11.57786,11.62642,7.6245,11.38605
1924,29.82435,7.241844,82.46531,24.19545,4.99E-03,0,0,0,0,26.7171,25.48549,36.44604
1925,21.19971,43.85589,57.62533,60.07812,36.52108,4.845439,4.13E-02,0,1.161782,22.07182,17.96886,50.84336
1926,34.85506,109.8901,10.85561,148.3456,0.7530289,0,0,0,0,8.259949,135.1222,27.85962
1927,42.66806,168.6001,45.87009,27.63453,1.120613,9.76E-02,0,0,0,51.94682,44.10092,82.69466
1928,5.760895,62.98206,71.32481,8.645529,16.14967,0,0,0,0,0.4901485,60.32669,93.29382
1929,40.35653,37.33539,38.15645,32.1781,0,4.383697,0,0,2.720919,0,0,5.583801
1930,121.5392,41.12254,78.54978,12.50951,24.33981,0.4754746,0,0,3.388596,0.6142998,45.56482,0.3043747
1931,106.6534,60.65928,5.188385,28.99844,39.82478,3.194356,0,4.527831,0,1.264267,73.07671,248.0461
1932,76.47972,108.4469,9.291634,9.655952,4.884284,0,0,0,3.242401,4.620622,0.7469826,31.37173
1933,183.8263,4.143761,14.2131,6.961023,11.06596,23.34126,0,0,0,17.73881,4.862309,117.9884
1934,53.02082,79.21426,2.541382,0,6.161847,19.33848,0,0,0.8112206,54.99401,73.3755,79.98296
1935,121.0518,29.5685,86.04173,88.21375,3.377017,0,0,7.309541,8.97E-03,17.50002,31.26323,47.56268
