Year,Recon,Target
1940,10.03104106,10.94125
1941,10.4298394,10.49625
1942,9.796455095,9.965
1943,9.718389922,10.07375
1944,10.03718829,9.66375
1945,9.779887398,9.35375
1946,9.579350524,9.78625
1947,9.806257914,10.065
1948,9.658846888,9.50875
1949,9.263107921,9.74875
1950,9.336364996,9.67625
1951,9.717711098,9.3
1952,9.979491268,9.74375
1953,9.924185094,10.23125
1954,9.704305392,9.31
1955,9.478868762,8.805
1956,9.585404674,9.1675
1957,10.1027091,10.28875
1958,10.17062959,9.98875
1959,10.028075,9.8425
1960,9.819009437,9.695
1961,9.671123428,9.87625
1962,9.6184714,9.64375
1963,9.722578577,10.56125
1964,9.438738327,9.3375
1965,9.269039203,9.26
1966,9.663487137,9.3325
1967,9.766625773,10.05
1968,9.720951509,9.9
1969,9.566227343,9.69
1970,9.550381163,9.375
1971,9.430989894,9.15
1972,9.478778648,9.17375
1973,9.621886343,9.43
1974,9.701397487,10.065
1975,9.622078007,9.27625
1976,9.84979744,9.9425
1977,10.20962776,9.98
1978,10.35568673,10.11625
1979,10.60384469,10.75875
1980,10.79277715,10.57125
1981,10.48862797,11.28375
1982,10.13036465,10
1983,10.46823552,10.9925
1984,10.21455918,10.28875
1985,9.631873817,9.20625
1986,9.70005068,9.75125
1987,9.966878071,9.99625
1988,10.12094224,10.1975
1989,10.3845373,9.96625
1990,10.48125731,10.45625
1991,10.29449207,9.7325
1992,10.27879924,10.26875
1993,9.848986737,10.48625
1994,9.757364708,10.58375
1995,10.13207336,10.625
1996,10.25472132,10.34125
1997,10.84379704,10.925
1998,10.8952344,10.67375
1999,10.21663861,9.705
2000,9.990067957,10.0975
